328.356066044508,	0.2672129983
329.504666188083,	0.2870159399
330.653266331658,	0.2969209635
331.801866475233,	0.303526681
332.376166547021,	0.3200267639
333.524766690596,	0.3299317875
334.673366834171,	0.3464354231
335.821966977746,	0.3530411407
336.396267049533,	0.3596433055
337.544867193108,	0.3728476351
338.693467336683,	0.3860519647
339.842067480258,	0.3992562943
340.416367552046,	0.402559153
341.564967695621,	0.4322600128
342.713567839196,	0.4520629545
343.862167982771,	0.4718658961
344.436468054559,	0.4751687549
345.585068198134,	0.4949716965
346.733668341709,	0.5114753322
347.882268485284,	0.5411761919
348.456568557071,	0.5510776628
349.605168700646,	0.5741799105
350.753768844221,	0.580785628
351.902368987796,	0.5972892636
352.476669059584,	0.6071907345
353.625269203159,	0.6269936761
354.773869346734,	0.6500959238
355.922469490309,	0.6633002534
356.496769562096,	0.6765010303
357.645369705671,	0.6864060539
358.793969849246,	0.7128076076
359.368269921034,	0.7194097724
360.516870064608,	0.7425120201
361.665470208184,	0.7656142678
362.814070351759,	0.7854172094
363.388370423546,	0.7953186803
364.536970567121,	0.8118223159
365.685570710696,	0.8349245636
366.834170854271,	0.8613261173
367.408470926059,	0.8745268942
368.557071069634,	0.9009284479
369.705671213209,	0.9141327775
370.854271356784,	0.9240378011
371.428571428571,	0.9306399659
372.577171572146,	0.9471436015
373.725771715721,	0.9537493191
374.874371859297,	0.9636543426
375.448671931084,	0.9669572014
376.597272074659,	0.976862225
377.745872218234,	0.9834679425
378.894472361809,	0.9933729661
379.468772433597,	0.9966758248
380.617372577172,	0.9999822363
381.765972720747,	0.9999893418
382.914572864322,	0.9999964473
383.488872936109,	1
384.637473079684,	0.9967077994
385.786073223259,	0.9901162928
386.360373295047,	0.9901198456
387.508973438622,	0.983528339
388.657573582197,	0.9703382203
389.806173725772,	0.9670460198
390.380473797559,	0.9406551242
391.529073941134,	0.9241656995
392.677674084709,	0.9076762748
393.826274228283,	0.8878875441
394.400574300072,	0.8779931787
395.549174443646,	0.858204448
396.697774587222,	0.8318171052
397.846374730797,	0.8087290685
398.420674802584,	0.7955353971
399.569274946159,	0.7724473603
400.717875089734,	0.7493593236
401.866475233309,	0.7262712868
402.440775305097,	0.7130776154
403.589375448672,	0.6800916605
404.737975592247,	0.6603029298
405.886575735821,	0.6372148931
406.460875807609,	0.6273205277
407.609475951184,	0.6042324909
408.75807609476,	0.5811444542
409.906676238335,	0.5580564174
410.480976310122,	0.5481620521
411.629576453697,	0.5250740153
412.778176597272,	0.5019859785
413.926776740847,	0.4788979418
414.501076812635,	0.4690035764
415.64967695621,	0.4459155397
416.798277099785,	0.432725421
416.798277099785,	0.429426115
