275.545765383519,			0.6606213823
278.423204471271,			0.6348967032
280.820216284799,			0.6048800018
283.216374005397,			0.5662838317
285.613385818926,			0.5362671303
288.489543767281,			0.4976732481
290.887409673741,			0.4762360155
293.285702626668,			0.4590885172
295.684849672527,			0.4505204878
298.084850811317,			0.4505319271
300.96656036373,			0.4677045917
303.368269688384,			0.4848749685
305.771687198902,			0.5192042829
308.175958802353,			0.562113066
310.581084498735,			0.6136013178
313.469199748137,			0.6951199982
315.875606583918,			0.7594774532
318.281586373231,			0.8195451738
320.686712069613,			0.8710334256
323.090983673065,			0.9139422087
325.973120271942,			0.9354046077
328.373975503666,			0.9439955158
330.774403688921,			0.9482966895
333.174404827713,			0.9483081288
335.573551873571,			0.9397400993
338.45141800779,			0.9183051545
340.849710960717,			0.9011576563
343.247149820712,			0.8754306893
345.643734587774,			0.8411242536
348.521173675527,			0.8153995745
350.919466628453,			0.7982520762
353.319040720779,			0.7939737811
355.719895952501,			0.8025646892
358.120751184223,			0.8111555972
361.00203369017,			0.8240385275
363.402888921893,			0.8326294356
365.803744153614,			0.8412203436
368.209296896464,			0.8969983299
370.613141453448,			0.9356173786
373.496986238189,			0.9742387151
375.899549655777,			0.9999885607
378.299550794567,			1
380.69827079396,			0.9871422362
383.094855561023,			0.9528358004
385.970159416446,			0.9056624494
388.367171229974,			0.875645748
390.764610089969,			0.849918781
393.162048949963,			0.824191814
395.558633717027,			0.7898853783
398.433083479518,			0.7341325585
400.825397781921,			0.656928779
403.216430944926,			0.5668557963
405.607037061465,			0.4724930792
408.474227034034,			0.343814775
410.866541336437,			0.2666109954
413.258428592374,			0.1851174815
415.652878127106,			0.1293623739
418.049889940636,			0.0993456725
420.927329028388,			0.0736209934
423.325194934849,			0.0521837608
425.72519607364,			0.0521952001
428.125197212431,			0.0522066394
431.003917439581,			0.0393511634
433.403491531906,			0.0350728683
435.803919717162,			0.039374042
438.203920855953,			0.0393854813
440.604349041209,			0.0436866549
443.483496314826,			0.0351209133
445.883497453617,			0.0351323526
448.283498592407,			0.0351437919
450.683499731198,			0.0351552312
453.083073823523,			0.0308769361
455.963075190071,			0.0308906633
458.363076328862,			0.0309021025
460.762650421186,			0.0266238075
463.163078606443,			0.0309249811
465.561798605836,			0.0180672173
468.441372925918,			0.01379121
470.841801111175,			0.0180923837
473.2413752035,			0.0138140886
475.64137634229,			0.0138255279
478.040950434615,			0.0095472328
